Date,occur_time,poss_date,poss_time,MaxOfnum_victims,Avg Day,UC2 Literal,neighborhood,x,y
10/28/17,0:00:00,10/28/17,2:49:00,3,Sat,LARCENY-FROM VEHICLE,Adair Park,-84.41246,33.73359
10/26/17,0:00:00,10/26/17,2:20:00,1,Thu,LARCENY-FROM VEHICLE,,-84.42525,33.81137
10/25/17,0:00:00,10/9/17,8:00:00,1,Mon,LARCENY-FROM VEHICLE,Virginia Highland,-84.3647,33.77775
10/24/17,0:00:00,10/24/17,13:27:00,1,Mon,LARCENY-FROM VEHICLE,Lake Claire,-84.32938,33.76651
10/23/17,0:00:00,10/22/17,23:00:00,1,Unk,LARCENY-NON VEHICLE,Harland Terrace,-84.4793,33.75431
10/23/17,0:00:00,10/23/17,7:00:00,1,Mon,LARCENY-FROM VEHICLE,Grove Park,-84.45744,33.77759
10/23/17,0:00:00,10/23/17,9:00:00,1,Mon,AUTO THEFT,West End,-84.4168,33.74057
10/23/17,0:00:00,10/18/17,12:00:00,1,Unk,LARCENY-NON VEHICLE,Greenbriar,-84.4937,33.68077
10/23/17,0:00:00,10/23/17,18:19:00,1,Unk,LARCENY-NON VEHICLE,Pine Hills,-84.35715,33.82459
10/22/17,0:00:00,10/22/17,3:09:00,1,Sun,LARCENY-FROM VEHICLE,Sweet Auburn,-84.37186,33.75275
10/22/17,0:00:00,10/22/17,12:00:00,1,Sun,LARCENY-FROM VEHICLE,Grant Park,-84.36779,33.72923
10/21/17,0:00:00,10/21/17,0:00:00,1,Unk,LARCENY-NON VEHICLE,Midtown,-84.38421,33.77829
10/20/17,0:00:00,10/20/17,0:08:00,1,Fri,LARCENY-NON VEHICLE,Virginia Highland,-84.35104,33.78448
10/19/17,0:00:00,10/19/17,13:45:00,1,Unk,BURGLARY-RESIDENCE,Pittsburgh,-84.4041,33.72332
10/18/17,0:00:00,10/18/17,6:00:00,1,Wed,AUTO THEFT,The Villages at Carver,-84.39079,33.71347
10/18/17,0:00:00,10/18/17,8:00:00,1,Wed,AUTO THEFT,Pine Hills,-84.35463,33.82765
10/18/17,0:00:00,10/18/17,8:00:00,1,Tue,BURGLARY-RESIDENCE,Capitol View,-84.42088,33.71842
10/17/17,0:00:00,10/17/17,23:00:00,1,Unk,BURGLARY-RESIDENCE,,-84.50299,33.67051
10/16/17,0:00:00,10/16/17,4:45:00,1,Mon,LARCENY-FROM VEHICLE,Pine Hills,-84.35825,33.84293
10/15/17,0:00:00,10/15/17,0:30:00,1,Sun,ROBBERY-PEDESTRIAN,English Avenue,-84.41232,33.77015
10/15/17,0:00:00,10/15/17,2:45:00,1,Sun,AUTO THEFT,Piedmont Heights,-84.36767,33.80978
10/14/17,0:00:00,10/1/17,0:00:00,1,Unk,LARCENY-NON VEHICLE,Midtown,-84.37904,33.78381
10/13/17,0:00:00,10/13/17,6:00:00,1,Fri,AUTO THEFT,The Villages at Carver,-84.39079,33.71347
10/13/17,0:00:00,10/13/17,8:00:00,1,Fri,AGG ASSAULT,Carey Park,-84.47156,33.78999
