DATE,,HOURLYSKYCONDITIONS,HOURLYVISIBILITY,HOURLYDRYBULBTEMPF,HOURLYRelativeHumidity,HOURLYWindSpeed,HOURLYStationPressure,,DAILYSunrise,DAILYSunset
1/2/17 23:02,,SCT:04 3 BKN:07 25 OVC:08 80,2.5,56,93,14,29.11,,744,1742
1/2/17 23:19,,FEW:02 3 BKN:07 75 OVC:08 100,8,57,90,10,29,,744,1742
1/2/17 23:53,,FEW:02 6 FEW:02 19,10,57,90,6,28.96s,,744,1742
1/2/17 23:59,,,,,,,,,744,1742
1/3/17 0:14,,BKN:07 10,10,58,87,3,28.98,,744,1742
1/3/17 0:27,,OVC:08 8,10,58,87,7,28.99,,744,1742
1/3/17 0:53,,OVC:08 6,10,58,90,6,29.01,,744,1742
1/3/17 1:42,,OVC:08 4,10,58,90,0,28.98,,744,1742
1/3/17 1:53,,OVC:08 4,10,57,96,3,28.99,,744,1742
1/3/17 2:53,,OVC:08 4,10,58,93,5,28.98,,744,1742
1/3/17 3:08,,OVC:08 6,10,58,90,0,28.99,,744,1742
1/3/17 3:31,,SCT:04 6 SCT:04 30 BKN:07 42,10,57,93,0,28.98,,744,1742
1/3/17 3:53,,SCT:04 19 SCT:04 30,10,57,93,0,28.98,,744,1742
1/3/17 4:04,,BKN:07 19 BKN:07 31,10,56,97,0,28.98,,744,1742
1/3/17 4:53,,BKN:07 15 BKN:07 22 OVC:08 28,10,56,93,0,28.98,,744,1742
1/3/17 5:10,,BKN:07 12 OVC:08 17,10,56,93,3,28.98,,744,1742
1/3/17 5:21,,BKN:07 9 OVC:08 13,10,56,93,3,28.98,,744,1742
1/3/17 5:53,,BKN:07 9 OVC:08 15,10,57,93,0,28.97,,744,1742
1/3/17 6:51,,BKN:07 3 OVC:08 14,9,57,94,5,28.96,,744,1742
1/3/17 6:53,,BKN:07 3 OVC:08 14,9,57,93,6,28.96,,744,1742
1/3/17 7:06,,SCT:04 3 OVC:08 16,8,57,93,7,28.97,,744,1742
1/3/17 7:29,,FEW:02 16,10,57,93,5,28.96,,744,1742
1/3/17 7:51,,SCT:04 4 BKN:07 10,5,55,94,0,28.98,,744,1742
1/3/17 7:53,,BKN:07 4 BKN:07 10,5,56,97,3,28.98,,744,1742
1/3/17 8:53,,OVC:08 4,8,57,93,5,28.99,,744,1742
1/3/17 9:38,,SCT:04 3 SCT:04 25 OVC:08 37,10,59,90,6,28.99,,744,1742
1/3/17 9:53,,FEW:02 25 OVC:08 37,10,59,90,6,29.01,,744,1742
1/3/17 10:53,,FEW:02 15 OVC:08 33,10,61,84,8,29,,744,1742
1/3/17 11:51,,BKN:07 18 BKN:07 24 OVC:08 29,10,61,83,7,28.98,,744,1742
1/3/17 11:53,,BKN:07 18 OVC:08 24,10,61,84,8,28.98,,744,1742
1/3/17 12:48,,BKN:07 13 BKN:07 20 OVC:08 30,10,61,83,6,28.96,,744,1742
1/3/17 12:53,,BKN:07 14 BKN:07 19 OVC:08 30,10,61,84,6,28.96,,744,1742
1/3/17 13:10,,SCT:04 16 BKN:07 20 OVC:08 30,10,61,84,8,28.95,,744,1742
1/3/17 13:51,,FEW:02 26 OVC:08 35,10,63,77,5,28.93,,744,1742
1/3/17 13:53,,FEW:02 22 SCT:04 28 OVC:08 35,10,62,80,5,28.94,,744,1742
1/3/17 14:53,,SCT:04 27 OVC:08 33,10,64,70,11,28.94,,744,1742
1/3/17 15:38,,BKN:07 29 OVC:08 34,10,64,68,8,28.94,,744,1742
1/3/17 15:53,,BKN:07 29 BKN:07 36,10,64,68,7,28.93,,744,1742
1/3/17 16:06,,SCT:04 30 BKN:07 35,10,65,66,7,28.93,,744,1742
1/3/17 16:41,,BKN:07 28,10,64,65,6,28.94,,744,1742
1/3/17 16:53,,BKN:07 29,10,64,65,5,28.93,,744,1742
1/3/17 17:11,,SCT:04 29,10,63,68,6,28.94,,744,1742
1/3/17 17:30,,BKN:07 29,10,62,70,3,28.94,,744,1742
1/3/17 17:53,,BKN:07 28,10,62,70,3,28.95,,744,1742
1/3/17 18:27,,BKN:07 31,10,61,75,5,28.95,,744,1742
1/3/17 18:53,,FEW:02 33,10,60,78,3,28.95,,744,1742
1/3/17 19:53,,SCT:04 33,10,57,83,5,28.95,,744,1743
1/3/17 20:53,,CLR:00,10,56,87,3,28.95,,744,1743
1/3/17 21:53,,CLR:00,10,55,90,3,28.95,,744,1743
1/3/17 22:53,,CLR:00,10,55,87,6,28.95,,744,1743
1/3/17 23:53,,CLR:00,10,54,90,5,28.94,,744,1743
1/3/17 23:59,,,,,,,,,744,1743
1/4/17 0:53,,CLR:00,10,53,89,5,28.94,,744,1743
1/4/17 1:53,,CLR:00,10,54,87,5,28.93,,744,1743
1/4/17 2:53,,CLR:00,10,53,86,3,28.94,,744,1743
1/4/17 3:53,,CLR:00,10,53,83,3,28.94,,744,1743
1/4/17 4:53,,CLR:00,10,52,86,5,28.94,,744,1743
1/4/17 5:49,,BKN:07 28,10,52,88,5,28.95,,744,1743
1/4/17 5:53,,BKN:07 28,10,51,89,5,28.95,,744,1743
